Date,Open,High,Low,Close,Volume,Adj Close
7/9/2015,523.119995,523.77002,520.349976,520.679993,1839400,520.679993
7/8/2015,521.049988,522.734009,516.109985,516.830017,1264600,516.830017
7/7/2015,523.130005,526.179993,515.179993,525.02002,1595700,525.02002
7/6/2015,519.5,525.25,519,522.859985,1276500,522.859985
7/2/2015,521.080017,524.650024,521.080017,523.400024,1234000,523.400024
7/1/2015,524.72998,525.690002,518.22998,521.840027,1961000,521.840027
6/30/2015,526.02002,526.25,520.5,520.51001,2217200,520.51001
6/29/2015,525.01001,528.609985,520.539978,521.52002,1930900,521.52002
6/26/2015,537.26001,537.76001,531.349976,531.690002,2011500,531.690002
6/25/2015,538.869995,540.900024,535.22998,535.22998,1331500,535.22998
6/24/2015,540,540,535.659973,537.840027,1283400,537.840027
6/23/2015,539.640015,541.499023,535.25,540.47998,1196000,540.47998
6/22/2015,539.590027,543.73999,537.530029,538.190002,1242500,538.190002
6/19/2015,537.210022,538.25,533.01001,536.690002,1885700,536.690002
6/18/2015,531,538.150024,530.789978,536.72998,1828100,536.72998
6/17/2015,529.369995,530.97998,525.099976,529.26001,1268600,529.26001
6/16/2015,528.400024,529.640015,525.559998,528.150024,1069300,528.150024
6/15/2015,528,528.299988,524,527.200012,1630700,527.200012
6/12/2015,531.599976,533.119995,530.159973,532.330017,952400,532.330017
6/11/2015,538.424988,538.97998,533.02002,534.609985,1205000,534.609985
6/10/2015,529.359985,538.359985,529.349976,536.690002,1811400,536.690002
6/9/2015,527.559998,529.200012,523.01001,526.690002,1441600,526.690002
6/8/2015,533.309998,534.119995,526.23999,526.830017,1520600,526.830017
6/5/2015,536.349976,537.200012,532.52002,533.330017,1375000,533.330017
6/4/2015,537.76001,540.590027,534.320007,536.700012,1335600,536.700012
6/3/2015,539.909973,543.5,537.109985,540.309998,1714500,540.309998
6/2/2015,532.929993,543,531.330017,539.179993,1934700,539.179993
6/1/2015,536.789978,536.789978,529.76001,533.98999,1899600,533.98999
5/29/2015,537.369995,538.630005,531.450012,532.109985,2584900,532.109985
5/28/2015,538.01001,540.609985,536.25,539.780029,1027900,539.780029
5/27/2015,532.799988,540.549988,531.710022,539.789978,1520400,539.789978
5/26/2015,538.119995,539,529.880005,532.320007,2403400,532.320007
5/22/2015,540.150024,544.190002,539.51001,540.109985,1173300,540.109985
5/21/2015,537.950012,543.840027,535.97998,542.51001,1461400,542.51001
